"Column name","Requested field","DwC Name","Field name","Field description","Download field name","Download field description","More information"
"sampleSizeUnit","sampleSizeUnit","sampleSizeUnit","sampleSizeUnit","Sampling Size Unit","sampleSizeUnit","","http://rs.tdwg.org/dwc/terms/sampleSizeUnit"
"fieldNotes","fieldNotes","fieldNotes","fieldNotes","Field Notes","fieldNotes","","http://rs.tdwg.org/dwc/terms/fieldNotes"
"eventRemarks","eventRemarks","eventRemarks","eventRemarks","Event Remarks","eventRemarks","","http://rs.tdwg.org/dwc/terms/eventRemarks"
"locationID","locationID","locationID","locationID","Location ID","locationID","","http://rs.tdwg.org/dwc/terms/locationID"
"higherGeographyID","higherGeographyID","higherGeographyID","higherGeographyID","Higher Geography ID","higherGeographyID","","http://rs.tdwg.org/dwc/terms/higherGeographyID"
"continent","continent","continent","continent","Continent","continent","","http://rs.tdwg.org/dwc/terms/continent"
"waterBody","waterBody","waterBody","waterBody","Water Body","waterBody","","http://rs.tdwg.org/dwc/terms/waterBody"
"islandGroup","islandGroup","islandGroup","islandGroup","Island Group","islandGroup","","http://rs.tdwg.org/dwc/terms/islandGroup"
"island","island","island","island","Island","island","","http://rs.tdwg.org/dwc/terms/island"
"country","country","country","country","Country","country","Country - parsed","The country where the specimen was collected or observation was made http://rs.tdwg.org/dwc/terms/country"
"countryCode","countryCode","countryCode","countryCode","Country Code","countryCode","","http://rs.tdwg.org/dwc/terms/countryCode"
"stateProvince","stateProvince","stateProvince","stateProvince","State/Territory","stateProvince","State - parsed","The state or territory matching the supplied coordinates http://rs.tdwg.org/dwc/terms/stateProvince"
"county","county","county","county","County","county","","http://rs.tdwg.org/dwc/terms/county"
"municipality","municipality","municipality","municipality","Municipality","municipality","","http://rs.tdwg.org/dwc/terms/municipality"
"locality","locality","locality","locality","Locality","locality","Locality","The locaility information that was supplied with the raw record. http://rs.tdwg.org/dwc/terms/locality"
"verbatimLocality","verbatimLocality","verbatimLocality","verbatimLocality","Verbatim Locality","verbatimLocality","","http://rs.tdwg.org/dwc/terms/verbatimLocality"
"minimumElevationInMeters","minimumElevationInMeters","minimumElevationInMeters","minimumElevationInMeters","Min elevation","minimumElevationInMeters","Minimum Elevation In Metres","Min altitude/elevation for this occurrence. http://rs.tdwg.org/dwc/terms/minimumElevationInMeters"
"maximumElevationInMeters","maximumElevationInMeters","maximumElevationInMeters","maximumElevationInMeters","Max elevation","maximumElevationInMeters","Maximum Elevation In Metres","Max altitude/elevation for this occurrence. http://rs.tdwg.org/dwc/terms/maximumElevationInMeters"
"verbatimElevation","verbatimElevation","verbatimElevation","verbatimElevation","Elevation","verbatimElevation","","http://rs.tdwg.org/dwc/terms/verbatimElevation"
"minimumDepthInMeters","minimumDepthInMeters","minimumDepthInMeters","minimumDepthInMeters","Minimum depth in metres","minimumDepthInMeters","Minimum Depth In Meters","Minimum depth in metres for this occurrence. http://rs.tdwg.org/dwc/terms/minimumDepthInMeters"
"maximumDepthInMeters","maximumDepthInMeters","maximumDepthInMeters","maximumDepthInMeters","Maximum depth in metres","maximumDepthInMeters","Maximum Depth In Meters","Maximum depth in metres for this occurrence as supplied by the data publisher http://rs.tdwg.org/dwc/terms/maximumDepthInMeters"
"verbatimDepth","verbatimDepth","verbatimDepth","verbatimDepth","Depth","verbatimDepth","","http://rs.tdwg.org/dwc/terms/verbatimDepth"
"minimumDistanceAboveSurfaceInMeters","minimumDistanceAboveSurfaceInMeters","minimumDistanceAboveSurfaceInMeters","minimumDistanceAboveSurfaceInMeters","Minimum Distance Above Surface In Meters","minimumDistanceAboveSurfaceInMeters","","http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters"
"maximumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","Maximum Distance Above Surface In Meters","maximumDistanceAboveSurfaceInMeters","","http://rs.tdwg.org/dwc/terms/maximumDistanceAboveSurfaceInMeters"
"locationAccordingTo","locationAccordingTo","locationAccordingTo","locationAccordingTo","Location According To","locationAccordingTo","","http://rs.tdwg.org/dwc/terms/locationAccordingTo"
"locationRemarks","locationRemarks","locationRemarks","locationRemarks","Location Remarks","locationRemarks","","http://rs.tdwg.org/dwc/terms/locationRemarks"
"decimalLatitude","decimalLatitude","decimalLatitude","decimalLatitude","Latitude","decimalLatitude","Decimal latitude (WGS84)","The decimal latitude associated with this record. If the original latitude was supplied in degrees, minutes, seconds, this value represents the converted value. http://rs.tdwg.org/dwc/terms/decimalLatitude"
"decimalLongitude","decimalLongitude","decimalLongitude","decimalLongitude","Longitude","decimalLongitude","Decimal longitude (WGS84)","The decimal longitude associated with this record. If the original longitude was supplied in degrees, minutes, seconds, this value represents the converted value. http://rs.tdwg.org/dwc/terms/decimalLongitude"
"geodeticDatum","geodeticDatum","geodeticDatum","geodeticDatum","Datum","geodeticDatum","Geodetic datum","http://rs.tdwg.org/dwc/terms/geodeticDatum"
"coordinateUncertaintyInMeters","coordinateUncertaintyInMeters","coordinateUncertaintyInMeters","coordinateUncertaintyInMeters","Coordinate uncertainty (in metres)","coordinateUncertaintyInMeters","Coordinate Uncertainty in Metres","A radius in metres defining the smallest circle the location could occur within http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters"
"coordinatePrecision","coordinatePrecision","coordinatePrecision","coordinatePrecision","Coordinate precision","coordinatePrecision","Coordinate Precision","http://rs.tdwg.org/dwc/terms/coordinatePrecision"
"verbatimCoordinates","verbatimCoordinates","verbatimCoordinates","verbatimCoordinates","Verbatim Coordinates","verbatimCoordinates","","http://rs.tdwg.org/dwc/terms/verbatimCoordinates"
"verbatimLatitude","verbatimLatitude","verbatimLatitude","verbatimLatitude","Verbatim Latitude","verbatimLatitude","","http://rs.tdwg.org/dwc/terms/verbatimLatitude"
"verbatimLongitude","verbatimLongitude","verbatimLongitude","verbatimLongitude","Verbatim Longitude","verbatimLongitude","","http://rs.tdwg.org/dwc/terms/verbatimLongitude"
"verbatimCoordinateSystem","verbatimCoordinateSystem","verbatimCoordinateSystem","verbatimCoordinateSystem","Verbatim Coordinate System","verbatimCoordinateSystem","","http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem"
"verbatimSRS","verbatimSRS","verbatimSRS","verbatimSRS","Verbatim SRS","verbatimSRS","","http://rs.tdwg.org/dwc/terms/verbatimSRS"
"footprintWKT","footprintWKT","footprintWKT","footprintWKT","Footprint WKT","footprintWKT","","http://rs.tdwg.org/dwc/terms/footprintWKT"
"footprintSRS","footprintSRS","footprintSRS","footprintSRS","Footprint SRS","footprintSRS","","http://rs.tdwg.org/dwc/terms/footprintSRS"
"georeferencedDate","georeferencedDate","georeferencedDate","georeferencedDate","Georeferenced Date","georeferencedDate","","http://rs.tdwg.org/dwc/terms/georeferencedDate"
"georeferenceProtocol","georeferenceProtocol","georeferenceProtocol","georeferenceProtocol","Georeference Protocol","georeferenceProtocol","","http://rs.tdwg.org/dwc/terms/georeferenceProtocol"
"georeferenceSources","georeferenceSources","georeferenceSources","georeferenceSources","Georeference Sources","georeferenceSources","","http://rs.tdwg.org/dwc/terms/georeferenceSources"
"georeferenceVerificationStatus","georeferenceVerificationStatus","georeferenceVerificationStatus","georeferenceVerificationStatus","Georeference Verification Status","georeferenceVerificationStatus","","http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus"
"georeferenceRemarks","georeferenceRemarks","georeferenceRemarks","georeferenceRemarks","Georeference Remarks","georeferenceRemarks","","http://rs.tdwg.org/dwc/terms/georeferenceRemarks"
"geologicalContextID","geologicalContextID","geologicalContextID","geologicalContextID","Geological Context ID","geologicalContextID","","http://rs.tdwg.org/dwc/terms/geologicalContextID"
"earliestEonOrLowestEonothem","earliestEonOrLowestEonothem","earliestEonOrLowestEonothem","earliestEonOrLowestEonothem","Earliest Eon Or Lowest Eonothem","earliestEonOrLowestEonothem","","http://rs.tdwg.org/dwc/terms/earliestEonOrLowestEonothem"
"latestEonOrHighestEonothem","latestEonOrHighestEonothem","latestEonOrHighestEonothem","latestEonOrHighestEonothem","Latest Eon Or Highest Eonothem","latestEonOrHighestEonothem","","http://rs.tdwg.org/dwc/terms/latestEonOrHighestEonothem"
"earliestEraOrLowestErathem","earliestEraOrLowestErathem","earliestEraOrLowestErathem","earliestEraOrLowestErathem","Earliest Era Or Lowest Erathem","earliestEraOrLowestErathem","","http://rs.tdwg.org/dwc/terms/earliestEraOrLowestErathem"
"latestEraOrHighestErathem","latestEraOrHighestErathem","latestEraOrHighestErathem","latestEraOrHighestErathem","Latest Era Or Highest Erathem","latestEraOrHighestErathem","","http://rs.tdwg.org/dwc/terms/latestEraOrHighestErathem"
"earliestPeriodOrLowestSystem","earliestPeriodOrLowestSystem","earliestPeriodOrLowestSystem","earliestPeriodOrLowestSystem","Earliest Period Or Lowest System","earliestPeriodOrLowestSystem","","http://rs.tdwg.org/dwc/terms/earliestPeriodOrLowestSystem"
"latestPeriodOrHighestSystem","latestPeriodOrHighestSystem","latestPeriodOrHighestSystem","latestPeriodOrHighestSystem","Latest Period Or Highest System","latestPeriodOrHighestSystem","","http://rs.tdwg.org/dwc/terms/latestPeriodOrHighestSystem"
"earliestEpochOrLowestSeries","earliestEpochOrLowestSeries","earliestEpochOrLowestSeries","earliestEpochOrLowestSeries","Earliest Epoch Or Lowest Series","earliestEpochOrLowestSeries","","http://rs.tdwg.org/dwc/terms/earliestEpochOrLowestSeries"
"latestEpochOrHighestSeries","latestEpochOrHighestSeries","latestEpochOrHighestSeries","latestEpochOrHighestSeries","Latest Epoch Or Highest Series","latestEpochOrHighestSeries","","http://rs.tdwg.org/dwc/terms/latestEpochOrHighestSeries"
"earliestAgeOrLowestStage","earliestAgeOrLowestStage","earliestAgeOrLowestStage","earliestAgeOrLowestStage","Earliest Age Or Lowest Stage","earliestAgeOrLowestStage","","http://rs.tdwg.org/dwc/terms/earliestAgeOrLowestStage"
"latestAgeOrHighestStage","latestAgeOrHighestStage","latestAgeOrHighestStage","latestAgeOrHighestStage","Latest AgeOr Highest Stage","latestAgeOrHighestStage","","http://rs.tdwg.org/dwc/terms/latestAgeOrHighestStage"
"lowestBiostratigraphicZone","lowestBiostratigraphicZone","lowestBiostratigraphicZone","lowestBiostratigraphicZone","Lowest Biostratigraphic Zone","lowestBiostratigraphicZone","","http://rs.tdwg.org/dwc/terms/lowestBiostratigraphicZone"
"highestBiostratigraphicZone","highestBiostratigraphicZone","highestBiostratigraphicZone","highestBiostratigraphicZone","Highest Biostratigraphic Zone","highestBiostratigraphicZone","","http://rs.tdwg.org/dwc/terms/highestBiostratigraphicZone"
"lithostratigraphicTerms","lithostratigraphicTerms","lithostratigraphicTerms","lithostratigraphicTerms","Lithostratigraphic Terms","lithostratigraphicTerms","","http://rs.tdwg.org/dwc/terms/lithostratigraphicTerms"
"group","group","group","group","Group","group","","http://rs.tdwg.org/dwc/terms/group"
"formation","formation","formation","formation","Formation","formation","","http://rs.tdwg.org/dwc/terms/formation"
"member","member","member","member","Member","member","","http://rs.tdwg.org/dwc/terms/member"
"bed","bed","bed","bed","Bed","bed","","http://rs.tdwg.org/dwc/terms/bed"
"identificationID","identificationID","identificationID","identificationID","Identification ID","identificationID","","http://rs.tdwg.org/dwc/terms/identificationID"
"identificationQualifier","identificationQualifier","identificationQualifier","identificationQualifier","Identification qualifier","identificationQualifier","","http://rs.tdwg.org/dwc/terms/identificationQualifier"
"typeStatus","typeStatus","typeStatus","typeStatus","Specimen type","typeStatus","","http://rs.tdwg.org/dwc/terms/typeStatus"
"identifiedBy","identifiedBy","identifiedBy","identifiedBy","Identified by","identifiedBy","Identified by","http://rs.tdwg.org/dwc/terms/identifiedBy"
"dateIdentified","dateIdentified","dateIdentified","dateIdentified","Date Identified","dateIdentified","","http://rs.tdwg.org/dwc/terms/dateIdentified"
"identificationReferences","identificationReferences","identificationReferences","identificationReferences","Identification References","identificationReferences","","http://rs.tdwg.org/dwc/terms/identificationReferences"
"identificationVerificationStatus","identificationVerificationStatus","identificationVerificationStatus","identificationVerificationStatus","Identification verification status","identificationVerificationStatus","","http://rs.tdwg.org/dwc/terms/identificationVerificationStatus"
"identificationRemarks","identificationRemarks","identificationRemarks","identificationRemarks","Identification Remarks","identificationRemarks","","http://rs.tdwg.org/dwc/terms/identificationRemarks"
"taxonID","taxonID","taxonID","taxonID","Taxon ID","taxonID","","http://rs.tdwg.org/dwc/terms/taxonID"
"scientificNameID","scientificNameID","scientificNameID","scientificNameID","Scientific Name ID","scientificNameID","","http://rs.tdwg.org/dwc/terms/scientificNameID"
"acceptedNameUsageID","acceptedNameUsageID","acceptedNameUsageID","acceptedNameUsageID","Accepted name","acceptedNameUsageID","Accepted Name Usage ID","http://rs.tdwg.org/dwc/terms/acceptedNameUsageID"
"parentNameUsageID","parentNameUsageID","parentNameUsageID","parentNameUsageID","Parent Name Usage ID","parentNameUsageID","","http://rs.tdwg.org/dwc/terms/parentNameUsageID"
"nameAccordingToID","nameAccordingToID","nameAccordingToID","nameAccordingToID","Name According To ID","nameAccordingToID","","http://rs.tdwg.org/dwc/terms/nameAccordingToID"
"namePublishedInID","namePublishedInID","namePublishedInID","namePublishedInID","Name Published In ID","namePublishedInID","","http://rs.tdwg.org/dwc/terms/namePublishedInID"
"taxonConceptID","taxonConceptID","taxonConceptID","taxonConceptID","Taxon Concept ID","taxonConceptID","","The GUID for the concept in the National Species List (NSL) http://rs.tdwg.org/dwc/terms/taxonConceptID"
"raw_scientificName","raw_scientificName","scientificName","raw_scientificName","Scientific name (unprocessed)","raw_scientificName","Scientific Name - original","Original scientific name supplied with the record http://rs.tdwg.org/dwc/terms/scientificName"
"scientificName","scientificName","scientificName","scientificName","Scientific name","scientificName","Scientific Name (intepreted)","The name the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/scientificName"
"acceptedNameUsage","acceptedNameUsage","acceptedNameUsage","acceptedNameUsage","Accepted name","acceptedNameUsage","Accepted Name Usage","http://rs.tdwg.org/dwc/terms/acceptedNameUsage"
"parentNameUsage","parentNameUsage","parentNameUsage","parentNameUsage","Parent Name Usage","parentNameUsage","","http://rs.tdwg.org/dwc/terms/parentNameUsage"
"originalNameUsage","originalNameUsage","originalNameUsage","originalNameUsage","Original name usage","originalNameUsage","","http://rs.tdwg.org/dwc/terms/originalNameUsage"
"nameAccordingTo","nameAccordingTo","nameAccordingTo","nameAccordingTo","Name According To","nameAccordingTo","","http://rs.tdwg.org/dwc/terms/nameAccordingTo"
"namePublishedIn","namePublishedIn","namePublishedIn","namePublishedIn","Name Published In","namePublishedIn","","http://rs.tdwg.org/dwc/terms/namePublishedIn"
"namePublishedInYear","namePublishedInYear","namePublishedInYear","namePublishedInYear","Name Published In Year","namePublishedInYear","","http://rs.tdwg.org/dwc/terms/namePublishedInYear"
"higherClassification","higherClassification","higherClassification","higherClassification","Higher Classification","higherClassification","","http://rs.tdwg.org/dwc/terms/higherClassification"
"kingdom","kingdom","kingdom","kingdom","Kingdom","kingdom","Kingdom","The kingdom the Atlas has matched this record to in the system classification http://rs.tdwg.org/dwc/terms/kingdom"
"phylum","phylum","phylum","phylum","Phylum","phylum","Phylum","The phylum the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/phylum"
"class","class","class","class","Class","class","Class","The class the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/class"
"order","order","order","order","Order","order","Order","The order the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/order"
"family","family","family","family","Family","family","Family","The family the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/family"
"genus","genus","genus","genus","Genus","genus","Genus","The genus the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/genus"
"subgenus","subgenus","subgenus","subgenus","Subgenus","subgenus","","http://rs.tdwg.org/dwc/terms/subgenus"
"specificEpithet","specificEpithet","specificEpithet","specificEpithet","Specific Epithet","specificEpithet","","http://rs.tdwg.org/dwc/terms/specificEpithet"
"infraspecificEpithet","infraspecificEpithet","infraspecificEpithet","infraspecificEpithet","Infraspecific Epithet","infraspecificEpithet","","http://rs.tdwg.org/dwc/terms/infraspecificEpithet"
"taxonRank","taxonRank","taxonRank","taxonRank","Identified to rank","taxonRank","Taxon Rank","http://rs.tdwg.org/dwc/terms/taxonRank"
"verbatimTaxonRank","verbatimTaxonRank","verbatimTaxonRank","verbatimTaxonRank","Verbatim Taxon Rank","verbatimTaxonRank","","http://rs.tdwg.org/dwc/terms/verbatimTaxonRank"
"scientificNameAuthorship","scientificNameAuthorship","scientificNameAuthorship","scientificNameAuthorship","Scientific Name Authorship","scientificNameAuthorship","","http://rs.tdwg.org/dwc/terms/scientificNameAuthorship"
"vernacularName","vernacularName","vernacularName","vernacularName","vernacularName","vernacularName","Vernacular name","The common name the ALA has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/vernacularName"
"nomenclaturalCode","nomenclaturalCode","nomenclaturalCode","nomenclaturalCode","Nomenclatural Code","nomenclaturalCode","","http://rs.tdwg.org/dwc/terms/nomenclaturalCode"
"taxonomicStatus","taxonomicStatus","taxonomicStatus","taxonomicStatus","Taxonomic Status","taxonomicStatus","","http://rs.tdwg.org/dwc/terms/taxonomicStatus"
"nomenclaturalStatus","nomenclaturalStatus","nomenclaturalStatus","nomenclaturalStatus","Nomenclatural Status","nomenclaturalStatus","","http://rs.tdwg.org/dwc/terms/nomenclaturalStatus"
"taxonRemarks","taxonRemarks","taxonRemarks","taxonRemarks","Taxon Remarks","taxonRemarks","","http://rs.tdwg.org/dwc/terms/taxonRemarks"
"measurementDeterminedDate","measurementDeterminedDate","measurementDeterminedDate","measurementDeterminedDate","Measurement Determined Date","measurementDeterminedDate","","http://rs.tdwg.org/dwc/terms/measurementDeterminedDate"
"recordedByID","recordedByID","recordedByID","recordedByID","recorded by ID","recordedByID","Recorded by ID","http://rs.tdwg.org/dwc/terms/recordedByID"
"identifiedByID","identifiedByID","identifiedByID","identifiedByID","Identified by ID","identifiedByID","Identified by ID","http://rs.tdwg.org/dwc/terms/identifiedByID"
"videos","videoIDs","videos","videoIDs","videos","videoIDs","videos","http://rs.tdwg.org/dwc/terms/videos"
"species","species","species","species","Species","species","Species","The species the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/species"
"subfamily","subfamily","subfamily","subfamily","Subfamily","subfamily","","The subfamily for this record. http://rs.tdwg.org/dwc/terms/subfamily"
"eventType","eventType","eventType","eventType","","eventType","","http://rs.tdwg.org/dwc/terms/eventType"
"measurementRemarks","measurementRemarks","measurementRemarks","measurementRemarks","Measurement Remarks","measurementRemarks","","http://rs.tdwg.org/dwc/terms/measurementRemarks"
"measurementValue","measurementValue","measurementValue","measurementValue","Measurement Value","measurementValue","","http://rs.tdwg.org/dwc/terms/measurementValue"
"relationshipRemarks","relationshipRemarks","relationshipRemarks","relationshipRemarks","Relationship Remarks","relationshipRemarks","","http://rs.tdwg.org/dwc/terms/relationshipRemarks"
"superfamily","superfamily","superfamily","superfamily","Superfamily","superfamily","","The super family for this record http://rs.tdwg.org/dwc/terms/superfamily"
"relationshipOfResource","relationshipOfResource","relationshipOfResource","relationshipOfResource","Relationship Of Resource","relationshipOfResource","","http://rs.tdwg.org/dwc/terms/relationshipOfResource"
"measurementMethod","measurementMethod","measurementMethod","measurementMethod","Measurement Method","measurementMethod","","http://rs.tdwg.org/dwc/terms/measurementMethod"
"identifier","identifier","dcterms:identifier","identifier","","identifier","",""
"provenance","provenance","dcterms:provenance","provenance","Provenance","provenance","","Provenance of this dataset. e.g. Published dataset, Draft, Individual sightings"
"sounds","soundIDs","sounds","soundIDs","sounds","soundIDs","sounds","http://rs.tdwg.org/dwc/terms/sounds"
"recordID","id","recordID","id","Record ID","id","Record ID","Atlas unique ID for this record http://rs.tdwg.org/dwc/terms/recordID"
"rights","rights","dcterms:rights","rights","","rights","",""
"source","source","dcterms:source","source","","source","",""
"measurementID","measurementID","measurementID","measurementID","Measurement ID","measurementID","","http://rs.tdwg.org/dwc/terms/measurementID"
"measurementType","measurementType","measurementType","measurementType","Measurement Type","measurementType","","http://rs.tdwg.org/dwc/terms/measurementType"
"measurementUnit","measurementUnit","measurementUnit","measurementUnit","Measurement Unit","measurementUnit","","http://rs.tdwg.org/dwc/terms/measurementUnit"
"measurementDeterminedBy","measurementDeterminedBy","measurementDeterminedBy","measurementDeterminedBy","Measurement Determined By","measurementDeterminedBy","","http://rs.tdwg.org/dwc/terms/measurementDeterminedBy"
"measurementAccuracy","measurementAccuracy","measurementAccuracy","measurementAccuracy","Measurement Accuracy","measurementAccuracy","","http://rs.tdwg.org/dwc/terms/measurementAccuracy"
